,Game_ID,Home_or_Away,Result,Panthers_Goals,Opponent_Goals,Panthers_PIM,Panthers_Shots,Panthers_Power_Play_%,Panthers_Power_Play_Goals,Panthers_Power_Play_Opportunities,Panthers_FOW%,Panthers_Blocked_Shots,Panthers_Takeaways,Panthers_Giveaways,Panthers_Hits,Opponent_PIM,Opponent_Shots,Opponent_Power_Play_%,Opponent_Power_Play_Goals,Opponent_Power_Play_Opportunities,Opponent_FOW%,Opponent_Blocked_Shots,Opponent_Takeaways,Opponent_Giveaways,Opponent_Hits
0,2014010029,Home,OT Loss,3,4,17,25,12.5,1.0,8.0,44.1,5,8,3,19,21,31,16.7,1.0,6.0,55.9,14,2,2,17
1,2014010051,Away,OT Loss,1,2,2,24,25.0,1.0,4.0,26.9,12,10,6,21,8,20,0.0,0.0,1.0,73.1,14,4,10,15
2,2014010052,Away,Loss,1,4,18,23,0.0,0.0,2.0,59.6,6,6,9,16,18,25,0.0,0.0,2.0,40.4,8,5,6,13
3,2014010065,Away,Loss,4,5,10,24,0.0,0.0,1.0,48.6,10,8,10,22,2,28,40.0,2.0,5.0,51.4,4,9,12,20
4,2014010088,Home,Loss,0,3,12,21,0.0,0.0,3.0,47.5,10,4,6,25,12,33,0.0,0.0,3.0,52.5,12,1,0,27
5,2014010100,Away,Loss,1,4,8,37,25.0,1.0,4.0,46.3,7,8,4,18,8,28,50.0,2.0,4.0,53.7,13,10,9,18
6,2014020010,Away,OT Loss,2,3,20,21,0.0,0.0,2.0,46.3,13,10,5,21,10,32,42.9,3.0,7.0,53.7,10,9,8,28
7,2014020022,Home,Loss,1,5,17,29,12.5,1.0,8.0,51.9,5,4,3,27,23,24,40.0,2.0,5.0,48.1,10,0,3,25
8,2014020037,Home,Loss,0,1,12,30,0.0,0.0,3.0,47.1,9,8,6,42,8,23,20.0,1.0,5.0,52.9,13,11,4,35
9,2014020056,Away,Win,1,0,12,35,0.0,0.0,5.0,52.6,10,7,10,19,12,26,0.0,0.0,5.0,47.4,17,6,9,27
10,2014020069,Away,OT Loss,1,2,4,21,20.0,1.0,5.0,34.9,17,6,10,30,10,28,0.0,0.0,2.0,65.1,14,4,12,31
11,2014020087,Away,Win,4,3,15,36,50.0,1.0,2.0,50.0,9,11,2,14,9,33,40.0,2.0,5.0,50.0,11,9,6,28
12,2014020115,Away,OT Loss,1,2,16,24,0.0,0.0,2.0,46.0,21,6,5,26,4,41,25.0,2.0,8.0,54.0,9,5,5,31
13,2014020143,Home,Win,2,1,17,26,33.3,1.0,3.0,45.0,8,6,2,23,15,33,25.0,1.0,4.0,55.0,16,3,1,31
14,2014020156,Home,Win,2,1,14,30,25.0,1.0,4.0,55.2,12,3,0,26,10,37,0.0,0.0,6.0,44.8,3,1,3,16
15,2014020172,Away,OT Loss,1,2,0,19,0.0,0.0,1.0,38.5,12,8,7,27,2,25,0.0,0.0,0.0,61.5,12,11,9,21
16,2014020188,Away,Loss,1,4,8,35,25.0,1.0,4.0,52.0,14,4,4,35,12,30,0.0,0.0,2.0,48.0,18,3,6,35
17,2014020202,Home,Loss,4,6,6,31,0.0,0.0,3.0,63.3,7,4,3,30,6,25,33.3,1.0,3.0,36.7,15,2,2,22
18,2014020225,Home,Win,4,1,4,30,0.0,0.0,2.0,49.1,17,4,4,30,4,26,0.0,0.0,2.0,50.9,6,6,1,33
19,2014020246,Home,OT Loss,3,4,6,38,16.7,1.0,6.0,60.0,23,4,6,26,12,34,0.0,0.0,3.0,40.0,17,3,2,32
20,2014020264,Away,Win,6,2,4,29,100.0,1.0,1.0,41.7,21,6,9,18,2,35,0.0,0.0,2.0,58.3,7,5,15,21
21,2014020277,Away,Loss,2,5,14,32,25.0,1.0,4.0,52.2,11,4,7,20,10,27,50.0,3.0,6.0,47.8,12,5,23,32
22,2014020290,Away,Win,3,2,6,28,20.0,1.0,5.0,41.9,26,7,13,20,10,30,33.3,1.0,3.0,58.1,20,9,19,27
23,2014020302,Away,OT Loss,2,3,8,30,0.0,0.0,2.0,42.6,11,13,6,14,4,50,0.0,0.0,4.0,57.4,10,10,8,9
